14  11  17	 565.4	 477.0	 243.5	 030.1
14  11  27	 565.0	 476.2	 243.1	 030.3
14  11  37	 564.5	 475.4	 242.7	 030.1
14  11  47	 564.0	 474.6	 242.3	 030.2
14  11  57	 563.5	 473.8	 241.8	 029.9
14  12  07	 563.0	 473.0	 241.3	 030.0
14  12  17	 562.5	 472.3	 240.8	 030.0
14  12  27	 562.0	 471.5	 240.2	 029.5
14  12  37	 561.5	 470.7	 239.7	 029.6
14  12  47	 561.1	 470.0	 239.3	 029.6
14  12  57	 560.6	 469.2	 238.9	 029.7
14  13  07	 560.1	 468.4	 238.5	 029.7
14  13  17	 559.6	 467.6	 238.0	 029.9
14  13  27	 559.1	 466.8	 237.7	 030.1
14  13  37	 558.5	 466.0	 237.3	 030.2
14  13  47	 558.0	 465.2	 236.9	 030.2
14  13  57	 557.5	 464.4	 236.5	 029.8
14  14  07	 557.0	 463.7	 236.1	 029.8
14  14  17	 556.4	 462.9	 235.6	 029.7
14  14  27	 555.9	 462.1	 235.2	 030.3
14  14  37	 555.3	 461.3	 234.7	 030.3
14  14  47	 554.8	 460.6	 234.3	 030.4
14  14  57	 554.2	 459.7	 233.9	 030.4
14  15  07	 553.8	 459.1	 233.5	 030.4
14  15  17	 553.2	 458.3	 233.1	 030.5
14  15  27	 552.7	 457.6	 232.6	 030.4
14  15  37	 552.1	 456.8	 232.2	 030.0
14  15  47	 551.5	 456.0	 231.9	 029.8
14  15  57	 550.9	 455.3	 231.5	 030.0
14  16  07	 550.4	 454.5	 231.1	 030.2
14  16  17	 549.8	 453.8	 230.7	 030.3
14  16  27	 549.3	 452.9	 230.4	 030.5
14  16  37	 548.7	 452.2	 229.9	 030.4
14  16  47	 548.1	 451.4	 229.4	 030.5
14  16  57	 547.6	 450.7	 228.9	 030.5
14  17  07	 546.9	 449.9	 228.6	 030.5
14  17  17	 546.5	 449.3	 228.3	 030.7
14  17  27	 545.9	 448.6	 228.0	 030.6
14  17  37	 545.3	 447.8	 227.6	 030.8
14  17  47	 544.7	 447.1	 227.2	 030.6
14  17  57	 544.1	 446.3	 226.8	 030.5
14  18  07	 543.5	 445.6	 226.5	 030.7
14  18  17	 542.9	 444.8	 226.1	 030.7
14  18  27	 542.4	 444.1	 225.7	 029.8
14  18  37	 541.7	 443.3	 225.4	 030.2
14  18  47	 541.1	 442.6	 225.0	 030.3
14  18  57	 540.5	 441.9	 224.7	 029.7
14  19  07	 539.9	 441.2	 224.4	 029.7
14  19  17	 539.3	 440.4	 223.9	 029.7
14  19  27	 538.7	 439.7	 223.5	 030.2
14  19  37	 538.1	 439.0	 223.1	 030.5
14  19  47	 537.6	 438.4	 222.5	 030.6
14  19  57	 536.9	 437.6	 222.2	 030.0
14  20  07	 536.3	 436.9	 221.8	 029.3
14  20  17	 535.7	 436.1	 221.5	 028.2
