#Time	T1	T2	T3
11 06 46	772.9	783.7	378.3
11 06 47	772.9	783.7	378.2
11 06 48	772.9	783.7	378.1
11 06 49	772.9	783.8	378.1
11 06 50	772.9	783.8	378
11 06 51	772.9	783.8	377.9
11 06 52	772.9	783.9	377.7
11 06 53	772.9	783.9	377.6
11 06 54	772.9	783.9	377.6
11 06 55	772.9	783.9	377.5
11 06 56	772.9	783.9	377.4
11 06 57	772.9	784	377.3
11 06 58	772.9	784	377.2
11 06 59	772.9	784.1	377.1
11 07 00	772.9	784.1	377.1
11 07 01	772.9	784.1	377
11 07 02	772.9	784.1	376.9
11 07 03	772.9	784.1	376.9
11 07 04	772.9	784.2	376.8
11 07 05	772.8	784.2	376.7
11 07 06	772.8	784.2	376.6
11 07 07	772.8	784.2	376.5
11 07 08	772.7	784.2	376.5
11 07 09	772.7	784.2	376.3
11 07 10	772.7	784.2	376.2
11 07 11	772.6	784.2	376.1
11 07 12	772.6	784.3	376
11 07 13	772.6	784.3	375.9
11 07 14	772.6	784.3	375.7
11 07 15	772.5	784.3	375.6
11 07 16	772.5	784.3	375.6
11 07 17	772.5	784.3	375.5
11 07 18	772.5	784.3	375.4
11 07 19	772.4	784.4	375.3
11 07 20	772.4	784.4	375.2
11 07 21	772.4	784.4	375.1
11 07 22	772.3	784.4	375
11 07 23	772.3	784.4	374.9
11 07 24	772.2	784.4	374.9
11 07 25	772.2	784.4	374.8
11 07 26	772.2	784.4	374.7
11 07 27	772.1	784.4	374.6
11 07 28	772.1	784.4	374.5
11 07 29	772	784.4	374.4
11 07 30	772	784.4	374.4
11 07 31	771.9	784.4	374.3
11 07 32	771.9	784.4	374.3
11 07 33	771.8	784.3	374.2
11 07 34	771.8	784.3	374.1
11 07 35	771.8	784.3	374
11 07 36	771.8	784.3	374
11 07 37	771.7	784.3	373.9
11 07 38	771.7	784.3	373.9
11 07 39	771.6	784.3	373.8
11 07 40	771.6	784.3	373.8
11 07 41	771.6	784.4	373.7
11 07 42	771.6	784.3	373.6
11 07 43	771.5	784.3	373.5
11 07 44	771.4	784.3	373.4
11 07 45	771.4	784.3	373.3
11 07 46	771.3	784.3	373.3
11 07 47	771.2	784.3	373.2
11 07 48	771.2	784.3	373.1
11 07 49	771.2	784.3	373
11 07 50	771.1	784.3	372.9
11 07 51	771	784.3	372.8
11 07 52	770.9	784.3	372.7
11 07 53	770.9	784.2	372.6
11 07 54	770.8	784.2	372.6
11 07 55	770.7	784.2	372.4
11 07 56	770.7	784.2	372.3
11 07 57	770.7	784.2	372.2
11 07 58	770.6	784.2	372.1
11 07 59	770.5	784.2	372
11 08 00	770.5	784.2	372
11 08 01	770.4	784.2	371.9
11 08 02	770.3	784.2	371.8
11 08 03	770.3	784.2	371.7
11 08 04	770.3	784.2	371.6
11 08 05	770.2	784.2	371.5
11 08 06	770.1	784.2	371.4
11 08 07	770.1	784.1	371.3
11 08 08	770	784.1	371.3
11 08 09	769.9	784.1	371.1
11 08 10	769.8	784.1	371
11 08 11	769.7	784.1	370.9
11 08 12	769.7	784.1	370.8
11 08 13	769.6	784	370.6
11 08 14	769.6	784	370.5
11 08 15	769.5	784	370.4
11 08 16	769.4	784	370.4
11 08 17	769.3	783.9	370.3
11 08 18	769.3	783.9	370.2
11 08 19	769.2	783.9	370.1
11 08 20	769.1	783.9	370
11 08 21	769	783.9	369.9
11 08 22	769	783.8	369.8
11 08 23	768.9	783.8	369.7
11 08 24	768.8	783.8	369.7
11 08 25	768.7	783.8	369.5
11 08 26	768.7	783.8	369.4
11 08 27	768.6	783.7	369.3
11 08 28	768.5	783.7	369.2
11 08 29	768.4	783.7	369.1
11 08 30	768.3	783.6	369.1
11 08 31	768.2	783.6	369
11 08 32	768.1	783.6	368.9
11 08 33	768	783.6	368.8
11 08 34	768	783.6	368.7
11 08 35	768	783.5	368.5
11 08 36	767.9	783.5	368.5
11 08 37	767.8	783.5	368.4
11 08 38	767.7	783.5	368.4
11 08 39	767.6	783.5	368.3
11 08 40	767.5	783.5	368.2
