13  51  22	 512.0	 629.2	 258.1	 028.1
13  51  32	 511.2	 628.5	 257.7	 028.1
13  51  42	 510.4	 627.8	 257.3	 028.2
13  51  52	 509.6	 627.2	 257.0	 028.3
13  52  02	 508.8	 626.5	 256.6	 028.3
13  52  12	 507.9	 625.8	 256.3	 028.3
13  52  22	 507.1	 625.1	 255.9	 028.2
13  52  32	 506.2	 624.3	 255.5	 028.2
13  52  42	 505.4	 623.6	 255.1	 028.2
13  52  52	 504.5	 622.9	 254.7	 028.0
13  53  02	 503.7	 622.2	 254.3	 028.2
13  53  12	 502.8	 621.4	 253.6	 028.2
13  53  22	 502.0	 620.7	 252.8	 028.2
13  53  32	 501.2	 619.9	 252.3	 028.2
13  53  42	 500.4	 619.2	 251.9	 028.2
13  53  52	 499.5	 618.5	 251.5	 028.2
13  54  02	 498.7	 617.8	 251.1	 028.1
13  54  12	 497.8	 617.0	 250.7	 028.1
13  54  22	 497.0	 616.3	 250.3	 028.2
13  54  32	 496.3	 615.7	 250.0	 028.4
13  54  42	 495.5	 614.9	 249.5	 028.3
13  54  52	 494.6	 614.1	 249.0	 028.3
13  55  02	 493.8	 613.4	 248.5	 028.2
13  55  12	 492.9	 612.7	 248.1	 028.2
13  55  22	 492.2	 611.9	 247.7	 028.3
13  55  32	 491.4	 611.2	 247.3	 028.3
13  55  42	 490.5	 610.4	 246.9	 028.3
13  55  52	 489.8	 609.6	 246.4	 028.2
13  56  02	 488.9	 608.9	 246.0	 028.2
13  56  12	 488.2	 608.1	 245.6	 028.2
13  56  22	 487.3	 607.4	 245.3	 028.2
13  56  32	 486.5	 606.6	 245.0	 028.2
13  56  42	 485.7	 605.9	 244.6	 028.2
13  56  52	 484.9	 605.1	 244.2	 028.1
13  57  02	 484.1	 604.3	 243.8	 028.2
13  57  12	 483.4	 603.6	 243.5	 028.3
13  57  22	 482.7	 602.9	 243.2	 028.4
13  57  32	 481.9	 602.1	 242.8	 028.4
13  57  42	 481.1	 601.4	 242.5	 028.4
13  57  52	 480.3	 600.6	 242.1	 028.4
13  58  02	 479.5	 599.8	 241.9	 028.4
13  58  12	 478.7	 599.0	 241.7	 028.3
13  58  22	 478.0	 598.3	 241.4	 028.4
