12  04  23	553.5	464.1	243.7
12  04  28	552.5	463.4	243.3
12  04  33	551.6	462.4	243
12  04  38	550.7	461.6	242.6
12  04  43	549.9	460.9	242.2
12  04  48	549.1	460.1	241.8
12  04  53	548.2	459.3	241.4
12  04  58	547.4	458.5	241.1
12  05  03	546.6	457.8	240.7
12  05  08	545.6	457	240.3
12  05  13	544.7	456	239.9
12  05  18	543.9	455.3	239.5
12  05  23	543	454.5	239.1
12  05  28	542.2	453.7	238.8
12  05  33	541.4	453	238.4
12  05  38	540.4	452.2	238
12  05  43	539.7	451.4	237.7
12  05  48	538.7	450.7	237.4
12  05  53	537.9	449.8	237
12  05  58	537	449	236.5
12  06  03	536.2	448.3	236.1
12  06  08	535.3	447.5	235.7
12  06  13	534.5	446.8	235.4
12  06  18	533.6	446.1	235
12  06  23	532.7	445.2	234.6
12  06  28	531.9	444.6	234.2
12  06  33	531.1	443.7	233.8
12  06  38	530.2	442.9	233.5
12  06  43	529.4	442.2	233.2
12  06  48	528.6	441.5	232.9
12  06  53	527.8	440.7	232.6
12  06  58	526.8	440	232.3
12  07  03	526	439.1	232
12  07  08	525.1	438.4	231.6
12  07  13	524.3	437.7	231.3
12  07  18	523.5	436.9	230.9
12  07  23	522.7	436.2	230.6
12  07  28	521.9	435.5	230.3
12  07  33	520.9	434.7	230
12  07  38	520.1	434	229.7
12  07  43	519.3	433.1	229.3
12  07  48	518.5	432.4	228.9
12  07  53	517.6	431.7	228.5
12  07  58	516.8	431	228.2
12  08  03	516	430.3	227.9
12  08  08	515.2	429.6	227.6
12  08  13	514.2	428.9	227.3
12  08  18	513.5	428.1	227
12  08  23	512.7	427.4	226.7
12  08  28	511.9	426.7	226.3
12  08  33	511	425.9	226
12  08  38	510.2	425.2	225.6
12  08  43	509.4	424.6	225.3
12  08  48	508.6	423.8	225
12  08  53	507.7	423.1	224.6
12  08  58	506.9	422.3	224.3
12  09  03	506.1	421.6	223.9
12  09  08	505.3	420.9	223.6
12  09  13	504.5	420.2	223.2
12  09  18	503.7	419.5	222.9
12  09  23	502.7	418.9	222.5
12  09  28	502.1	418.2	222.2
12  09  33	501.1	417.5	221.9
12  09  38	500.4	416.6	221.6
12  09  43	499.6	416	221.3
12  09  48	498.8	415.3	220.9
12  09  53	498	414.6	220.6
12  09  58	497.2	413.9	220.3
12  10  03	496.2	413.2	220
12  10  08	495.4	412.4	219.7
12  10  13	494.7	411.9	219.4
12  10  18	493.9	411.1	219
12  10  23	493.1	410.4	218.6
12  10  28	492.3	409.7	218.3
12  10  33	491.5	409.1	218
12  10  38	490.8	408.4	217.7
12  10  43	489.8	407.7	217.4
12  10  48	489	406.9	217.1
12  10  53	488.3	406.3	216.7
12  10  58	487.5	405.6	216.4
12  11  03	486.7	404.9	216
12  11  08	486	404.3	215.7
12  11  13	485.2	403.6	215.4
12  11  18	484.2	403	215.1
12  11  23	483.5	402.3	214.8
12  11  28	482.7	401.6	214.5
12  11  33	481.9	400.9	214.1
12  11  38	481.2	400.3	213.8
12  11  43	480.4	399.6	213.5
12  11  48	479.6	399	213.2
12  11  53	478.9	398.4	212.9
12  11  58	478	397.8	212.7
12  12  03	477.3	397	212.5
12  12  08	476.5	396.4	212.2
12  12  13	475.8	395.7	211.9
12  12  18	475	395.1	211.6
12  12  23	474.3	394.5	211.2
12  12  28	473.5	393.8	210.9
12  12  33	472.8	393.2	210.7
12  12  38	471.9	392.6	210.3
12  12  43	471.2	391.8	210
12  12  48	470.4	391.2	209.7
12  12  53	469.6	390.6	209.4
12  12  58	468.9	389.9	209.1
12  13  03	468.1	389.3	208.8
12  13  08	467.3	388.7	208.6
12  13  13	466.6	388.1	208.3
12  13  18	465.8	387.4	208
12  13  23	465	386.7	207.7
12  13  28	464.3	386.1	207.3
12  13  33	463.5	385.5	207.1
12  13  38	462.8	384.9	206.8
12  13  43	462.1	384.2	206.6
12  13  48	461.2	383.6	206.3
12  13  53	460.5	382.9	206
12  13  58	459.7	382.4	205.8
12  14  03	459	381.7	205.5
12  14  08	458.3	381.1	205.2
12  14  13	457.6	380.5	204.9
12  14  18	456.8	379.9	204.7
12  14  23	456.1	379.3	204.4
12  14  28	455.2	378.7	204.1
12  14  33	454.5	378	203.9
12  14  38	453.8	377.4	203.6
12  14  43	453.1	376.8	203.4
12  14  48	452.4	376.2	203
12  14  53	451.6	375.6	202.7
12  14  58	450.9	375	202.5
12  15  03	450.1	374.4	202.2
12  15  08	449.4	373.8	202
12  15  13	448.7	373.1	201.7
12  15  18	448	372.5	201.4
12  15  23	447.4	371.9	201.2
12  15  28	446.8	371.4	200.9
12  15  33	446.3	370.8	200.6
12  15  38	445.6	370.2	200.4
12  15  43	444.6	369.6	200.1
12  15  48	443.7	368.9	199.8
12  15  53	442.9	368.3	199.5
12  15  58	442.3	367.8	199.2
12  16  03	441.6	367.3	198.9
12  16  08	440.9	366.7	198.7
12  16  13	440.3	366.1	198.4
12  16  18	439.6	365.5	198.2
12  16  23	438.7	365	198
12  16  28	438	364.3	197.7
12  16  33	437.4	363.7	197.4
12  16  38	436.7	363.2	197.1
12  16  43	436.1	362.6	196.9
12  16  48	435.5	362	196.6
12  16  53	434.8	361.5	196.4
12  16  58	434.3	360.9	196.2
12  17  03	433.5	360.3	196
12  17  08	432.8	359.6	195.7
12  17  13	432.2	359.1	195.5
12  17  18	431.5	358.5	195.2
12  17  23	430.8	358	195
12  17  28	430.1	357.4	194.7
12  17  33	429.3	356.9	194.5
12  17  38	428.7	356.2	194.2
12  17  43	428	355.8	194
12  17  48	427.3	355.2	193.7
12  17  53	426.6	354.6	193.4
12  17  58	425.9	354	193.2
12  18  03	425.3	353.5	193
12  18  07	425	353.2	192.9
12  18  17	423.6	352.1	192.5
